100%|██████████| 1278/1278 [43:44<00:00,  2.05s/it] 
Epoch: 001, Loss: 2.8297243118
 74%|███████▍  | 950/1278 [37:06<08:35,  1.57s/it]  Epoch: 002, Loss: 0.9951775074
100%|██████████| 1278/1278 [28:57<00:00,  1.36s/it]
Epoch: 003, Loss: 0.9143822193
100%|██████████| 1278/1278 [29:03<00:00,  1.36s/it]
Epoch: 004, Loss: 0.9270526767
100%|██████████| 1278/1278 [29:10<00:00,  1.37s/it]
Epoch: 005, Loss: 0.9674911499
100%|██████████| 1278/1278 [29:13<00:00,  1.37s/it]
Epoch: 006, Loss: 0.9336917400
100%|██████████| 1278/1278 [29:20<00:00,  1.38s/it]
Epoch: 007, Loss: 0.9327997565
100%|██████████| 1278/1278 [29:15<00:00,  1.37s/it]
Epoch: 008, Loss: 0.9220435023
100%|██████████| 1278/1278 [29:12<00:00,  1.37s/it]
Epoch: 009, Loss: 0.9043405652
100%|██████████| 1278/1278 [29:02<00:00,  1.36s/it]
Epoch: 010, Loss: 0.9310432076
100%|██████████| 1278/1278 [29:16<00:00,  1.37s/it]
Epoch: 011, Loss: 0.9629333019
100%|██████████| 1278/1278 [29:30<00:00,  1.39s/it]
Epoch: 012, Loss: 0.9392029047
100%|██████████| 1278/1278 [29:17<00:00,  1.38s/it]
Epoch: 013, Loss: 0.9987128377
100%|██████████| 1278/1278 [29:17<00:00,  1.38s/it]
Epoch: 014, Loss: 0.9523099661
100%|██████████| 1278/1278 [31:14<00:00,  1.47s/it]
Epoch: 015, Loss: 0.8903591633
100%|██████████| 1278/1278 [29:53<00:00,  1.40s/it]
Epoch: 016, Loss: 0.9301185012
100%|██████████| 1278/1278 [30:01<00:00,  1.41s/it]
Epoch: 017, Loss: 0.9695795774
100%|██████████| 1278/1278 [30:05<00:00,  1.41s/it]
Epoch: 018, Loss: 0.8834511638
100%|██████████| 1278/1278 [29:52<00:00,  1.40s/it]
Epoch: 019, Loss: 0.8969367743
100%|██████████| 1278/1278 [30:02<00:00,  1.41s/it]
Epoch: 020, Loss: 0.9123229384
100%|██████████| 1278/1278 [30:05<00:00,  1.41s/it]
Epoch: 021, Loss: 0.9364356995
100%|██████████| 1278/1278 [30:03<00:00,  1.41s/it]
Epoch: 022, Loss: 0.9140812159
100%|██████████| 1278/1278 [30:08<00:00,  1.42s/it]
Epoch: 023, Loss: 0.8913068175
100%|██████████| 1278/1278 [30:09<00:00,  1.42s/it]
Epoch: 024, Loss: 0.8880122900
100%|██████████| 1278/1278 [30:11<00:00,  1.42s/it]
Epoch: 025, Loss: 0.8939847946
100%|██████████| 1278/1278 [29:58<00:00,  1.41s/it]
Epoch: 026, Loss: 0.9285100698
100%|██████████| 1278/1278 [30:03<00:00,  1.41s/it]
Epoch: 027, Loss: 0.9154841304
100%|██████████| 1278/1278 [30:02<00:00,  1.41s/it]
Epoch: 028, Loss: 0.9048448205
100%|██████████| 1278/1278 [30:11<00:00,  1.42s/it]
Epoch: 029, Loss: 0.9011312127
100%|██████████| 1278/1278 [30:13<00:00,  1.42s/it]
Epoch: 030, Loss: 0.9246854186
100%|██████████| 1278/1278 [30:11<00:00,  1.42s/it]
Epoch: 031, Loss: 0.8570652604
100%|██████████| 1278/1278 [29:59<00:00,  1.41s/it]
Epoch: 032, Loss: 0.8923781514
100%|██████████| 1278/1278 [30:02<00:00,  1.41s/it]
Epoch: 033, Loss: 1.0038312674
100%|██████████| 1278/1278 [30:10<00:00,  1.42s/it]
Epoch: 034, Loss: 0.8774220943
100%|██████████| 1278/1278 [30:06<00:00,  1.41s/it]
Epoch: 035, Loss: 0.8703173995
